"age3"	"sex"	"race"	"year0"	"ex"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
1	1	1	1999	78.72	79.02	0.18	NA	0	0
1	1	1	2000	80.02	79.09	0.18	NA	0	0
1	1	1	2001	79.43	79.15	0.17	NA	0	0
1	1	1	2002	79.33	79.21	0.17	NA	0	0
1	1	1	2003	78.87	79.28	0.17	NA	0	0
1	1	1	2004	79.30	79.34	0.17	NA	0	0
1	1	1	2005	78.97	79.40	0.16	NA	0	0
1	1	1	2006	79.27	79.47	0.16	NA	0	0
1	1	1	2007	79.55	79.53	0.16	NA	0	0
1	1	1	2008	79.61	79.59	0.16	NA	0	0
1	1	1	2009	79.70	79.66	0.16	NA	0	0
1	1	1	2010	79.49	79.72	0.15	NA	0	0
1	1	1	2011	79.66	79.78	0.16	NA	0	0
1	1	1	2012	80.12	79.85	0.16	NA	0	0
1	1	1	2013	80.17	79.91	0.15	NA	0	0
1	1	1	2014	79.88	79.97	0.15	NA	0	0
1	1	1	2015	79.75	80.04	0.15	NA	0	0
1	1	1	2016	80.06	80.10	0.16	NA	0	0
1	1	1	2017	79.87	80.17	0.16	NA	0	0
1	1	1	2018	80.85	80.23	0.16	NA	0	0
1	1	2	1999	86.62	86.71	0.07	NA	1	1
1	1	2	2000	86.98	86.91	0.07	NA	1	1
1	1	2	2001	87.08	87.11	0.07	NA	1	1
1	1	2	2002	87.34	87.31	0.07	NA	1	1
1	1	2	2003	87.35	87.50	0.06	NA	1	1
1	1	2	2004	87.85	87.70	0.06	NA	1	1
1	1	2	2005	87.95	87.90	0.06	NA	1	1
1	1	2	2006	88.14	88.10	0.06	NA	1	1
1	1	2	2007	88.52	88.30	0.06	NA	1	1
1	1	2	2008	88.29	88.50	0.06	NA	1	1
1	1	2	2009	88.70	88.70	0.05	NA	1	1
1	1	2	2010	88.81	88.90	0.05	NA	1	1
1	1	2	2011	89.23	89.10	0.05	NA	1	1
1	1	2	2012	89.12	89.31	0.05	NA	1	1
1	1	2	2013	89.46	89.51	0.05	NA	1	1
1	1	2	2014	89.98	89.71	0.05	Joinpoint 1	1	1
1	1	2	2015	89.65	89.75	0.05	NA	1	1
1	1	2	2016	89.74	89.78	0.05	NA	1	1
1	1	2	2017	89.73	89.82	0.05	NA	1	1
1	1	2	2018	89.96	89.85	0.05	NA	1	1
1	1	3	1999	74.91	74.88	0.04	NA	2	2
1	1	3	2000	75.01	75.05	0.04	NA	2	2
1	1	3	2001	75.25	75.22	0.04	NA	2	2
1	1	3	2002	75.31	75.39	0.04	NA	2	2
1	1	3	2003	75.54	75.56	0.04	Joinpoint 1	2	2
1	1	3	2004	75.97	75.90	0.04	NA	2	2
1	1	3	2005	76.10	76.24	0.04	NA	2	2
1	1	3	2006	76.59	76.58	0.04	NA	2	2
1	1	3	2007	76.96	76.93	0.04	NA	2	2
1	1	3	2008	77.30	77.27	0.04	NA	2	2
1	1	3	2009	77.79	77.62	0.04	NA	2	2
1	1	3	2010	78.06	77.97	0.04	NA	2	2
1	1	3	2011	78.27	78.32	0.04	NA	2	2
1	1	3	2012	78.60	78.68	0.04	Joinpoint 2	2	2
1	1	3	2013	78.61	78.69	0.04	NA	2	2
1	1	3	2014	78.78	78.71	0.04	NA	2	2
1	1	3	2015	78.75	78.73	0.04	NA	2	2
1	1	3	2016	78.62	78.75	0.04	NA	2	2
1	1	3	2017	78.77	78.76	0.03	NA	2	2
1	1	3	2018	78.84	78.78	0.03	NA	2	2
1	1	4	1999	79.85	79.84	0.01	NA	2	2
1	1	4	2000	79.87	79.88	0.01	NA	2	2
1	1	4	2001	79.92	79.92	0.01	NA	2	2
1	1	4	2002	79.94	79.95	0.01	Joinpoint 1	2	2
1	1	4	2003	80.05	80.12	0.01	NA	2	2
1	1	4	2004	80.40	80.28	0.01	NA	2	2
1	1	4	2005	80.36	80.44	0.01	NA	2	2
1	1	4	2006	80.65	80.60	0.01	NA	2	2
1	1	4	2007	80.85	80.77	0.01	NA	2	2
1	1	4	2008	80.80	80.93	0.01	NA	2	2
1	1	4	2009	81.18	81.10	0.01	NA	2	2
1	1	4	2010	81.20	81.26	0.01	Joinpoint 2	2	2
1	1	4	2011	81.17	81.25	0.01	NA	2	2
1	1	4	2012	81.30	81.24	0.01	NA	2	2
1	1	4	2013	81.28	81.23	0.01	NA	2	2
1	1	4	2014	81.33	81.22	0.01	NA	2	2
1	1	4	2015	81.11	81.21	0.01	NA	2	2
1	1	4	2016	81.18	81.20	0.01	NA	2	2
1	1	4	2017	81.09	81.19	0.01	NA	2	2
1	1	4	2018	81.26	81.18	0.01	NA	2	2
1	1	5	1999	83.04	82.93	0.05	NA	1	1
1	1	5	2000	83.28	83.15	0.05	NA	1	1
1	1	5	2001	83.26	83.37	0.04	NA	1	1
1	1	5	2002	83.55	83.60	0.04	NA	1	1
1	1	5	2003	83.57	83.82	0.04	NA	1	1
1	1	5	2004	84.22	84.05	0.04	NA	1	1
1	1	5	2005	84.10	84.27	0.04	NA	1	1
1	1	5	2006	84.42	84.50	0.04	NA	1	1
1	1	5	2007	84.87	84.73	0.04	NA	1	1
1	1	5	2008	84.83	84.95	0.04	NA	1	1
1	1	5	2009	85.43	85.18	0.04	NA	1	1
1	1	5	2010	85.44	85.41	0.04	NA	1	1
1	1	5	2011	85.84	85.64	0.04	NA	1	1
1	1	5	2012	85.83	85.87	0.04	NA	1	1
1	1	5	2013	85.96	86.10	0.03	NA	1	1
1	1	5	2014	86.34	86.33	0.03	Joinpoint 1	1	1
1	1	5	2015	86.31	86.37	0.03	NA	1	1
1	1	5	2016	86.39	86.41	0.03	NA	1	1
1	1	5	2017	86.43	86.44	0.03	NA	1	1
1	1	5	2018	86.51	86.48	0.03	NA	1	1
1	2	1	1999	73.25	73.54	0.18	NA	0	0
1	2	1	2000	74.20	73.56	0.18	NA	0	0
1	2	1	2001	73.82	73.57	0.18	NA	0	0
1	2	1	2002	73.44	73.59	0.18	NA	0	0
1	2	1	2003	73.09	73.61	0.17	NA	0	0
